,Yearly Results of Astral Limited (in Rs. Cr.),Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,Stock,Yearly Results of Aarti Industries (in Rs. Cr.),,Yearly Results of Balrampur Chini Mills (in Rs. Cr.),,Yearly Results of Bharti Airtel (in Rs. Cr.),,Yearly Results of Bharat Heavy Electricals (in Rs. Cr.),,Yearly Results of Britannia Industries (in Rs. Cr.),,Yearly Results of Birlasoft (in Rs. Cr.),,Yearly Results of Canara Bank (in Rs. Cr.),,Yearly Results of Chambal Fertilisers and Chemicals (in Rs. Cr.),,Yearly Results of Colgate Palmolive (India) (in Rs. Cr.),,Yearly Results of Crompton Greaves Consumer Electrical (in Rs. Cr.),,Yearly Results of Escorts Kubota (in Rs. Cr.),,Yearly Results of GMR Airports Infrastructure (in Rs. Cr.),,Yearly Results of Hindustan Aeronautics Ltd. (in Rs. Cr.),,Yearly Results of Havells India (in Rs. Cr.),,Yearly Results of HDFC Life Insurance Company (in Rs. Cr.),,Yearly Results of L&T Finance Holdings (in Rs. Cr.),,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,Yearly Results of Max Financial Services (in Rs. Cr.),,Yearly Results of NMDC (in Rs. Cr.),,Yearly Results of Piramal Enterprises (in Rs. Cr.),,Yearly Results of Trent (in Rs. Cr.),,Yearly Results of Vedanta (in Rs. Cr.),
32,,,,,,,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,
33,,10.38,0.88,0.54,1.33,1.34,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,,,
34,,10.35,0.88,0.53,1.33,1.33,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,,,
35,,,,,,,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,
36,,10.38,0.88,0.54,1.33,1.34,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,,,
37,,10.35,0.88,0.53,1.33,1.33,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,,,
38,,,,,,,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,,,
39,,--,--,--,--,--,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,,,
40,,--,--,--,--,--,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,,,
41,,,,,,,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,
42,,,,,,,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,
43,,--,--,--,--,--,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,,,
44,,--,--,--,--,--,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,
45,,--,--,--,--,--,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,
46,,,,,,,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,,,
47,,--,--,--,--,--,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,,,
48,,--,--,--,--,--,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,
49,,--,--,--,--,--,,2022,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly Results of L&T Finance Holdings (in Rs. Cr.),,,,,,,,,,,,,
1,,347.37,335.87,171.26,475.44,482.11,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,,,
2,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,,,
3,,347.37,335.87,171.26,475.44,482.11,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,,,
4,,,,,,,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,,,
5,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,,,
6,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,,,
7,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,,,
8,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,,,
9,,12.73,14.70,13.70,26.72,15.08,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,,,
10,,0.26,0.37,0.58,0.48,0.11,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,,,
11,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,,,
12,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,,,
13,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,,,
14,,0.24,0.02,7.59,0.12,-3.91,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,,,
15,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,,,
16,,57.64,7.45,12.48,10.57,9.12,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,,,
17,,276.50,313.33,136.91,437.55,461.71,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,,,
18,,12.66,14.59,20.16,46.94,44.37,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,,,
19,,289.16,327.92,157.07,484.49,506.08,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,,,
20,,6.05,73.49,192.96,200.75,202.05,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,,,
21,,283.11,254.43,-35.89,283.74,304.03,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,,,
22,,2858.09,--,224.68,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,,,
23,,3141.20,254.43,188.79,283.74,304.03,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,,,
24,,569.50,36.25,72.74,16.69,36.97,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,,,
25,,2571.70,218.18,116.05,267.05,267.06,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,,,
26,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,,,
27,,--,--,--,-0.24,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,,,
28,,2571.70,218.18,116.05,266.81,267.06,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,,,
29,,2479.67,2474.04,2469.45,2004.83,1998.81,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,,,
30,,11132.07,8614.41,8341.08,5658.75,5709.60,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,,,
31,,20.00,5.00,--,9.00,10.00,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,,,
32,,,,,,,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,,,
33,,10.38,0.88,0.54,1.33,1.34,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,,,
34,,10.35,0.88,0.53,1.33,1.33,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,,,
35,,,,,,,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,,,
36,,10.38,0.88,0.54,1.33,1.34,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,,,
37,,10.35,0.88,0.53,1.33,1.33,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,,,
38,,,,,,,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,,,
39,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,,,
40,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,,,
41,,,,,,,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,,,
42,,,,,,,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,,,
43,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,,,
44,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,,,
45,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,,,
46,,,,,,,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,,,
47,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,,,
48,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,,,
49,,--,--,--,--,--,,2023,ltfinanceholdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,,,,,,,,,,
1,,112500.80,83798.10,66562.10,71690.40,83026.50,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,
2,,5022.10,4497.50,3770.40,3920.20,2993.80,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,
3,,117522.90,88295.60,70332.50,75610.60,86020.30,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,
4,,,,,,,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,
5,,46670.00,39738.70,33296.90,34636.60,45023.90,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,
6,,39977.20,26390.50,17247.20,18758.10,15019.50,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,
7,,-403.70,-91.90,273.10,-238.10,210.80,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,
8,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,
9,,4605.10,4022.20,3402.90,3383.90,3254.90,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,
10,,2823.30,2786.50,3031.50,3525.70,3018.90,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,
11,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,
12,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,
13,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,
14,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,
15,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,
16,,15809.90,12534.90,10825.00,11767.50,11511.90,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,
17,,8041.10,2914.70,2255.90,3776.90,7980.40,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,
18,,2304.60,1793.50,3004.30,3420.80,2561.00,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,
19,,10345.70,4708.20,5260.20,7197.70,10541.40,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,
20,,186.60,125.90,100.80,132.90,75.80,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,
21,,10159.10,4582.30,5159.40,7064.80,10465.60,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,
22,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,
23,,10159.10,4582.30,5159.40,7064.80,10465.60,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,
24,,2109.90,816.00,929.70,1414.20,2965.00,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,
25,,8049.20,3766.30,4229.70,5650.60,7500.60,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,
26,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,
27,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,
28,,8049.20,3766.30,4229.70,5650.60,7500.60,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,
29,,151.00,151.00,151.00,151.00,151.00,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,
30,,60231.00,53935.00,51215.80,48286.00,45990.50,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,
31,,1800.00,1200.00,900.00,1200.00,1600.00,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,
32,,,,,,,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS Before Extra Ordinary,,,,,,,,,,,
33,,266.46,124.68,140.02,187.06,248.30,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS,,,,,,,,,,,
34,,266.46,124.68,140.02,187.06,248.30,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS,,,,,,,,,,,
35,,,,,,,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS After Extra Ordinary,,,,,,,,,,,
36,,266.46,124.68,140.02,187.06,248.30,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic EPS.,,,,,,,,,,,
37,,266.46,124.68,140.02,187.06,248.30,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diluted EPS.,,,,,,,,,,,
38,,,,,,,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Share Holding,,,,,,,,,,,
39,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Of Shares (Crores),,,,,,,,,,,
40,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share Holding (%),,,,,,,,,,,
41,,,,,,,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promoters and Promoter Group Shareholding,,,,,,,,,,,
42,,,,,,,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a) Pledged/Encumbered,,,,,,,,,,,
43,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores),,,,,,,,,,,
44,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group),,,,,,,,,,,
45,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company),,,,,,,,,,,
46,,,,,,,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b) Non-encumbered,,,,,,,,,,,
47,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Number of shares (Crores).,,,,,,,,,,,
48,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total sh. of prom. and promoter group).,,,,,,,,,,,
49,,--,--,--,--,--,,2018,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Per. of shares (as a % of the total Share Cap. of the company).,,,,,,,,,,,
0,,Mar '23,Mar '22,Mar '21,Mar '20,Mar '19,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yearly Results of Maruti Suzuki India (in Rs. Cr.),,,,,,,,,,,
1,,112500.80,83798.10,66562.10,71690.40,83026.50,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Sales/Income from operations,,,,,,,,,,,
2,,5022.10,4497.50,3770.40,3920.20,2993.80,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Operating Income,,,,,,,,,,,
3,,117522.90,88295.60,70332.50,75610.60,86020.30,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Income From Operations,,,,,,,,,,,
4,,,,,,,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPENDITURE,,,,,,,,,,,
5,,46670.00,39738.70,33296.90,34636.60,45023.90,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumption of Raw Materials,,,,,,,,,,,
6,,39977.20,26390.50,17247.20,18758.10,15019.50,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchase of Traded Goods,,,,,,,,,,,
7,,-403.70,-91.90,273.10,-238.10,210.80,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increase/Decrease in Stocks,,,,,,,,,,,
8,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power & Fuel,,,,,,,,,,,
9,,4605.10,4022.20,3402.90,3383.90,3254.90,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employees Cost,,,,,,,,,,,
10,,2823.30,2786.50,3031.50,3525.70,3018.90,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depreciation,,,,,,,,,,,
11,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excise Duty,,,,,,,,,,,
12,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admin. And Selling Expenses,,,,,,,,,,,
13,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R & D Expenses,,,,,,,,,,,
14,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provisions And Contingencies,,,,,,,,,,,
15,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exp. Capitalised,,,,,,,,,,,
16,,15809.90,12534.90,10825.00,11767.50,11511.90,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Expenses,,,,,,,,,,,
17,,8041.10,2914.70,2255.90,3776.90,7980.40,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Other Inc. , Int., Excpt. Items & Tax",,,,,,,,,,,
18,,2304.60,1793.50,3004.30,3420.80,2561.00,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Income,,,,,,,,,,,
19,,10345.70,4708.20,5260.20,7197.70,10541.40,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P/L Before Int., Excpt. Items & Tax",,,,,,,,,,,
20,,186.60,125.90,100.80,132.90,75.80,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interest,,,,,,,,,,,
21,,10159.10,4582.30,5159.40,7064.80,10465.60,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Exceptional Items & Tax,,,,,,,,,,,
22,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exceptional Items,,,,,,,,,,,
23,,10159.10,4582.30,5159.40,7064.80,10465.60,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L Before Tax,,,,,,,,,,,
24,,2109.90,816.00,929.70,1414.20,2965.00,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tax,,,,,,,,,,,
25,,8049.20,3766.30,4229.70,5650.60,7500.60,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P/L After Tax from Ordinary Activities,,,,,,,,,,,
26,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prior Year Adjustments,,,,,,,,,,,
27,,--,--,--,--,--,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra Ordinary Items,,,,,,,,,,,
28,,8049.20,3766.30,4229.70,5650.60,7500.60,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Net Profit/(Loss) For the Period,,,,,,,,,,,
29,,151.00,151.00,151.00,151.00,151.00,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Share Capital,,,,,,,,,,,
30,,60231.00,53935.00,51215.80,48286.00,45990.50,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserves Excluding Revaluation Reserves,,,,,,,,,,,
31,,1800.00,1200.00,900.00,1200.00,1600.00,,2019,marutisuzukiindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Dividend Rate (%),,,,,,,,,,,
