,0,1,2,3,Stock,4,5,6
39,Short Term Loans And Advances,11.55,9.34,30.71,thetatapowercompany,33.00,87.18,
40,OtherCurrentAssets,13751.08,14171.01,12368.01,thetatapowercompany,14749.77,13862.67,
41,Total Current Assets,39525.00,31442.83,25896.71,thetatapowercompany,23754.71,21055.96,
42,Total Assets,128349.04,112884.59,98851.23,thetatapowercompany,89748.15,84162.93,
43,OTHER ADDITIONAL INFORMATION,,,,thetatapowercompany,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,thetatapowercompany,,,
45,Contingent Liabilities,14327.21,9372.21,7161.25,thetatapowercompany,6282.82,5218.16,
46,BONUS DETAILS,,,,thetatapowercompany,,,
47,Bonus Equity Share Capital,1.13,1.13,1.13,thetatapowercompany,1.13,1.13,
48,NON-CURRENT INVESTMENTS,,,,thetatapowercompany,,,
49,Non-Current Investments Quoted Market Value,881.17,606.37,122.01,thetatapowercompany,66.94,89.14,
50,Non-Current Investments Unquoted Book Value,674.53,563.44,606.87,thetatapowercompany,565.74,772.27,
51,CURRENT INVESTMENTS,,,,thetatapowercompany,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,thetatapowercompany,0.00,0.00,
53,Current Investments Unquoted Book Value,1149.60,410.52,499.54,thetatapowercompany,699.51,166.98,
0,Balance Sheet of Tata Steel (in Rs. Cr.),Mar 23,Mar 22,Mar 21,tatasteel,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,tatasteel,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,tatasteel,,,
3,SHAREHOLDER'S FUNDS,,,,tatasteel,,,
4,Equity Share Capital,1221.24,1221.21,1197.61,tatasteel,1144.95,1144.94,
5,Total Share Capital,1221.24,1221.21,1197.61,tatasteel,1144.95,1144.94,
6,Reserves and Surplus,101860.86,113221.83,72262.38,tatasteel,70156.35,65505.14,
7,Total Reserves and Surplus,101860.86,113221.83,72262.38,tatasteel,70156.35,65505.14,
8,Total Shareholders Funds,103082.10,114443.04,73459.99,tatasteel,71301.30,66650.08,
9,Minority Interest,2093.11,2655.42,3269.68,tatasteel,2586.60,2364.46,
10,NON-CURRENT LIABILITIES,,,,tatasteel,,,
11,Long Term Borrowings,51446.33,44764.07,65698.01,tatasteel,94104.97,80342.73,
12,Deferred Tax Liabilities [Net],14115.64,12325.78,9241.42,tatasteel,9261.38,12459.89,
13,Other Long Term Liabilities,15213.59,15843.31,17480.28,tatasteel,4994.22,4409.89,
14,Long Term Provisions,4775.84,4825.98,4691.92,tatasteel,4235.07,4046.21,
15,Total Non-Current Liabilities,85551.40,77759.14,97111.63,tatasteel,112595.64,101258.72,
16,CURRENT LIABILITIES,,,,tatasteel,,,
17,Short Term Borrowings,26571.37,24064.61,14968.97,tatasteel,19184.48,10802.08,
18,Trade Payables,37832.54,36764.87,25967.49,tatasteel,21380.85,21716.96,
19,Other Current Liabilities,29008.49,26990.03,25205.35,tatasteel,19431.91,27266.37,
20,Short Term Provisions,3882.73,2768.49,4725.32,tatasteel,1663.67,1248.72,
21,Total Current Liabilities,97295.13,90588.00,70867.13,tatasteel,61660.91,61034.13,
22,Total Capital And Liabilities,288021.74,285445.60,245487.21,tatasteel,250419.45,233582.39,
23,ASSETS,,,,tatasteel,,,
24,NON-CURRENT ASSETS,,,,tatasteel,,,
25,Tangible Assets,127919.26,124504.16,128454.45,tatasteel,128053.76,118450.97,
26,Intangible Assets,13100.55,4472.47,2976.04,tatasteel,2442.37,1994.32,
27,Capital Work-In-Progress,30307.90,21227.62,18128.74,tatasteel,18862.06,17956.51,
28,Fixed Assets,172232.83,151022.18,150437.89,tatasteel,149992.96,139086.50,
29,Non-Current Investments,4780.25,4615.43,3463.04,tatasteel,2853.31,3213.31,
30,Deferred Tax Assets [Net],2625.96,3023.93,1578.02,tatasteel,1270.33,808.95,
31,Long Term Loans And Advances,64.74,1282.44,91.93,tatasteel,488.71,613.34,
32,Other Non-Current Assets,16050.77,28633.81,25359.74,tatasteel,33026.89,26872.69,
33,Total Non-Current Assets,201356.20,192888.99,185275.31,tatasteel,191686.73,174591.41,
34,CURRENT ASSETS,,,,tatasteel,,,
35,Current Investments,3630.06,8524.42,7218.89,tatasteel,3431.87,2524.86,
36,Inventories,54415.33,48824.39,33276.38,tatasteel,31068.72,31656.10,
37,Trade Receivables,8257.24,12246.43,9539.84,tatasteel,7884.91,11811.00,
38,Cash And Cash Equivalents,13357.26,15898.93,5782.18,tatasteel,8054.72,3341.37,
39,Short Term Loans And Advances,1.84,5.84,5.59,tatasteel,215.68,239.70,
40,OtherCurrentAssets,7003.81,7056.60,4389.02,tatasteel,8076.82,9417.95,
41,Total Current Assets,86665.54,92556.61,60211.90,tatasteel,58732.72,58990.98,
42,Total Assets,288021.74,285445.60,245487.21,tatasteel,250419.45,233582.39,
43,OTHER ADDITIONAL INFORMATION,,,,tatasteel,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,tatasteel,,,
45,Contingent Liabilities,34871.14,33004.72,25723.75,tatasteel,26907.88,26941.26,
46,BONUS DETAILS,,,,tatasteel,,,
47,Bonus Equity Share Capital,252.97,252.97,252.97,tatasteel,252.97,252.97,
48,NON-CURRENT INVESTMENTS,,,,tatasteel,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,tatasteel,205.02,454.53,
50,Non-Current Investments Unquoted Book Value,0.00,0.00,0.00,tatasteel,479.75,835.83,
51,CURRENT INVESTMENTS,,,,tatasteel,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,tatasteel,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,tatasteel,3431.87,2524.86,
0,Balance Sheet of Tech Mahindra (in Rs. Cr.),Mar 23,Mar 22,Mar 21,techmahindra,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,techmahindra,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,techmahindra,,,
3,SHAREHOLDER'S FUNDS,,,,techmahindra,,,
4,Equity Share Capital,440.00,438.80,437.00,techmahindra,435.80,443.70,
5,Total Share Capital,440.00,438.80,437.00,techmahindra,435.80,443.70,
6,Reserves and Surplus,27483.20,26445.80,24422.80,techmahindra,20950.80,19432.40,
7,Total Reserves and Surplus,27483.20,26445.80,24422.80,techmahindra,20950.80,19432.40,
8,Total Shareholders Funds,27923.20,26884.60,24859.80,techmahindra,21812.30,20282.40,
9,Minority Interest,470.20,495.40,379.50,techmahindra,393.30,477.70,
10,NON-CURRENT LIABILITIES,,,,techmahindra,,,
11,Long Term Borrowings,128.80,142.00,165.80,techmahindra,178.70,208.60,
12,Deferred Tax Liabilities [Net],326.10,455.20,76.10,techmahindra,35.60,1.10,
13,Other Long Term Liabilities,1823.50,2276.10,1902.70,techmahindra,2107.60,333.40,
14,Long Term Provisions,928.80,881.10,781.00,techmahindra,669.10,580.10,
15,Total Non-Current Liabilities,3207.20,3754.40,2925.60,techmahindra,2991.00,1123.20,
16,CURRENT LIABILITIES,,,,techmahindra,,,
17,Short Term Borrowings,1449.40,1439.70,1496.00,techmahindra,2249.50,1196.10,
18,Trade Payables,4384.60,4094.70,2785.00,techmahindra,3256.60,2489.30,
19,Other Current Liabilities,8086.10,6298.80,5465.40,techmahindra,4983.30,6250.60,
20,Short Term Provisions,631.30,671.60,531.10,techmahindra,436.40,395.20,
21,Total Current Liabilities,14551.40,12504.80,10277.50,techmahindra,10925.80,10331.20,
22,Total Capital And Liabilities,46153.30,44870.70,39678.00,techmahindra,37353.50,33446.90,
23,ASSETS,,,,techmahindra,,,
24,NON-CURRENT ASSETS,,,,techmahindra,,,
25,Tangible Assets,4034.20,3699.20,3559.50,techmahindra,3978.30,2793.70,
26,Intangible Assets,3231.60,3658.60,1450.80,techmahindra,1506.00,1451.20,
27,Capital Work-In-Progress,83.60,165.10,118.30,techmahindra,50.10,276.30,
28,Fixed Assets,7385.50,7522.90,5128.60,techmahindra,5534.40,4521.20,
29,Non-Current Investments,604.90,447.90,575.70,techmahindra,236.00,752.00,
30,Deferred Tax Assets [Net],1296.50,819.10,913.30,techmahindra,844.30,609.10,
31,Long Term Loans And Advances,4.90,13.60,4.70,techmahindra,4.50,4.30,
32,Other Non-Current Assets,4763.10,4185.70,3792.20,techmahindra,4174.30,3178.20,
33,Total Non-Current Assets,21720.60,20415.00,14422.70,techmahindra,14181.20,11881.10,
34,CURRENT ASSETS,,,,techmahindra,,,
35,Current Investments,2783.20,4435.90,9661.90,techmahindra,5612.30,6589.90,
36,Inventories,23.60,40.50,24.20,techmahindra,35.80,75.20,
37,Trade Receivables,12881.60,11933.40,6472.80,techmahindra,7577.20,6958.60,
38,Cash And Cash Equivalents,4254.70,3974.50,2835.20,techmahindra,3148.30,2358.70,
39,Short Term Loans And Advances,0.00,0.00,0.00,techmahindra,0.00,0.00,
40,OtherCurrentAssets,4489.60,4071.40,6261.20,techmahindra,6798.70,5583.40,
41,Total Current Assets,24432.70,24455.70,25255.30,techmahindra,23172.30,21565.80,
42,Total Assets,46153.30,44870.70,39678.00,techmahindra,37353.50,33446.90,
43,OTHER ADDITIONAL INFORMATION,,,,techmahindra,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,techmahindra,,,
45,Contingent Liabilities,9925.80,10942.60,7013.00,techmahindra,6867.90,6221.80,
46,BONUS DETAILS,,,,techmahindra,,,
47,Bonus Equity Share Capital,345.50,345.50,345.50,techmahindra,345.50,345.51,
48,NON-CURRENT INVESTMENTS,,,,techmahindra,,,
49,Non-Current Investments Quoted Market Value,399.40,2.10,301.10,techmahindra,3.30,698.90,
50,Non-Current Investments Unquoted Book Value,205.50,445.80,274.60,techmahindra,232.60,61.60,
51,CURRENT INVESTMENTS,,,,techmahindra,,,
52,Current Investments Quoted Market Value,122.30,774.60,174.80,techmahindra,1009.70,1430.50,
53,Current Investments Unquoted Book Value,2660.90,3661.30,9487.10,techmahindra,4602.60,5159.40,
0,Balance Sheet of The Ramco Cements (in Rs. Cr.),Mar 23,Mar 22,Mar 21,theramcocements,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,theramcocements,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,theramcocements,,,
3,SHAREHOLDER'S FUNDS,,,,theramcocements,,,
4,Equity Share Capital,23.63,23.63,23.59,theramcocements,23.56,23.56,
5,Total Share Capital,23.63,23.63,23.59,theramcocements,23.56,23.56,
6,Reserves and Surplus,6837.43,6594.96,5687.73,theramcocements,4956.27,4513.44,
7,Total Reserves and Surplus,6837.43,6594.96,5687.73,theramcocements,4956.27,4513.44,
8,Total Shareholders Funds,6861.06,6618.59,5731.70,theramcocements,5001.35,4537.00,
9,Minority Interest,7.00,6.77,6.31,theramcocements,5.64,4.70,
10,NON-CURRENT LIABILITIES,,,,theramcocements,,,
11,Long Term Borrowings,3622.16,2857.29,2162.62,theramcocements,1832.34,701.18,
12,Deferred Tax Liabilities [Net],927.43,822.29,1083.46,theramcocements,912.19,864.60,
13,Other Long Term Liabilities,35.66,29.65,19.40,theramcocements,20.89,13.07,
14,Long Term Provisions,53.34,41.25,32.06,theramcocements,24.03,15.69,
15,Total Non-Current Liabilities,4638.59,3750.48,3297.54,theramcocements,2789.45,1594.54,
16,CURRENT LIABILITIES,,,,theramcocements,,,
17,Short Term Borrowings,865.26,1072.66,939.10,theramcocements,800.06,729.33,
18,Trade Payables,638.58,490.74,364.52,theramcocements,342.98,258.36,
19,Other Current Liabilities,1543.29,1181.72,1083.34,theramcocements,1164.01,1054.40,
20,Short Term Provisions,40.96,37.57,32.41,theramcocements,29.27,25.46,
21,Total Current Liabilities,3088.09,2782.69,2419.37,theramcocements,2336.32,2067.55,
22,Total Capital And Liabilities,14594.74,13158.53,11454.92,theramcocements,10132.76,8203.79,
23,ASSETS,,,,theramcocements,,,
24,NON-CURRENT ASSETS,,,,theramcocements,,,
25,Tangible Assets,12181.86,7705.83,6921.09,theramcocements,5993.36,5345.29,
26,Intangible Assets,0.00,66.95,57.25,theramcocements,56.04,54.67,
27,Capital Work-In-Progress,0.00,2992.15,2325.46,theramcocements,1814.27,830.77,
28,Fixed Assets,12181.86,10806.79,9333.53,theramcocements,7889.77,6252.55,
29,Non-Current Investments,272.70,297.09,306.97,theramcocements,275.50,258.67,
30,Deferred Tax Assets [Net],2.39,1.05,0.35,theramcocements,0.40,0.42,
31,Long Term Loans And Advances,14.98,66.22,43.13,theramcocements,28.07,16.45,
32,Other Non-Current Assets,235.94,280.01,312.03,theramcocements,363.31,295.19,
33,Total Non-Current Assets,12707.87,11451.16,9996.01,theramcocements,8557.05,6823.28,
34,CURRENT ASSETS,,,,theramcocements,,,
35,Current Investments,0.00,0.00,0.00,theramcocements,0.00,0.00,
36,Inventories,883.61,834.47,599.34,theramcocements,646.88,561.08,
37,Trade Receivables,465.10,350.71,375.92,theramcocements,527.63,490.07,
38,Cash And Cash Equivalents,170.33,178.48,143.83,theramcocements,94.15,94.83,
39,Short Term Loans And Advances,12.77,13.62,27.73,theramcocements,29.82,27.41,
40,OtherCurrentAssets,355.06,330.09,312.09,theramcocements,277.23,207.12,
41,Total Current Assets,1886.87,1707.37,1458.91,theramcocements,1575.71,1380.51,
42,Total Assets,14594.74,13158.53,11454.92,theramcocements,10132.76,8203.79,
43,OTHER ADDITIONAL INFORMATION,,,,theramcocements,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,theramcocements,,,
45,Contingent Liabilities,0.00,1207.02,1033.20,theramcocements,917.53,1016.09,
46,BONUS DETAILS,,,,theramcocements,,,
47,Bonus Equity Share Capital,0.00,20.99,20.99,theramcocements,20.96,20.96,
48,NON-CURRENT INVESTMENTS,,,,theramcocements,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,5.75,theramcocements,3.48,4.55,
50,Non-Current Investments Unquoted Book Value,0.00,0.00,22.13,theramcocements,22.13,22.13,
51,CURRENT INVESTMENTS,,,,theramcocements,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,theramcocements,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,0.00,0.00,theramcocements,0.00,0.00,
0,Balance Sheet of Titan Company (in Rs. Cr.),Mar 23,Mar 22,Mar 21,titancompany,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,titancompany,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,titancompany,,,
3,SHAREHOLDER'S FUNDS,,,,titancompany,,,
4,Equity Share Capital,89.00,89.00,89.00,titancompany,88.78,88.78,
5,Total Share Capital,89.00,89.00,89.00,titancompany,88.78,88.78,
6,Reserves and Surplus,11755.00,9208.00,7404.00,titancompany,6575.97,5981.37,
7,Total Reserves and Surplus,11755.00,9208.00,7404.00,titancompany,6575.97,5981.37,
8,Total Shareholders Funds,11851.00,9303.00,7497.00,titancompany,6668.75,6070.15,
9,Minority Interest,53.00,30.00,5.00,titancompany,4.40,14.08,
10,NON-CURRENT LIABILITIES,,,,titancompany,,,
11,Long Term Borrowings,0.00,2.00,9.00,titancompany,16.97,31.67,
12,Deferred Tax Liabilities [Net],3.00,6.00,8.00,titancompany,6.19,5.41,
13,Other Long Term Liabilities,1612.00,1143.00,1063.00,titancompany,1060.81,1.33,
14,Long Term Provisions,240.00,198.00,156.00,titancompany,166.12,130.68,
15,Total Non-Current Liabilities,1855.00,1349.00,1236.00,titancompany,1250.09,169.09,
16,CURRENT LIABILITIES,,,,titancompany,,,
17,Short Term Borrowings,7494.00,516.00,4366.00,titancompany,2290.45,2352.98,
18,Trade Payables,1214.00,1294.00,789.00,titancompany,596.71,905.98,
19,Other Current Liabilities,4424.00,8664.00,2529.00,titancompany,2619.69,2137.63,
20,Short Term Provisions,132.00,38.00,30.00,titancompany,119.70,65.34,
21,Total Current Liabilities,13264.00,10512.00,7714.00,titancompany,5626.55,5461.93,
22,Total Capital And Liabilities,27023.00,21194.00,16452.00,titancompany,13549.79,11715.25,
23,ASSETS,,,,titancompany,,,
24,NON-CURRENT ASSETS,,,,titancompany,,,
25,Tangible Assets,2629.00,2192.00,2157.00,titancompany,2244.14,1206.33,
26,Intangible Assets,246.00,229.00,243.00,titancompany,266.28,237.29,
27,Capital Work-In-Progress,133.00,69.00,19.00,titancompany,11.52,28.95,
28,Fixed Assets,3019.00,2506.00,2432.00,titancompany,2528.66,1475.39,
29,Non-Current Investments,351.00,279.00,19.00,titancompany,44.36,39.20,
30,Deferred Tax Assets [Net],158.00,137.00,105.00,titancompany,159.00,74.18,
31,Long Term Loans And Advances,54.00,42.00,158.00,titancompany,153.50,129.13,
32,Other Non-Current Assets,911.00,653.00,418.00,titancompany,420.96,287.04,
33,Total Non-Current Assets,4616.00,3740.00,3255.00,titancompany,3429.49,2127.95,
34,CURRENT ASSETS,,,,titancompany,,,
35,Current Investments,2164.00,15.00,2805.00,titancompany,113.57,69.22,
36,Inventories,16584.00,13609.00,8408.00,titancompany,8102.98,7038.82,
37,Trade Receivables,674.00,565.00,366.00,titancompany,311.55,420.45,
38,Cash And Cash Equivalents,1343.00,1573.00,560.00,titancompany,381.13,1066.48,
39,Short Term Loans And Advances,135.00,423.00,109.00,titancompany,56.10,246.60,
40,OtherCurrentAssets,1507.00,1269.00,949.00,titancompany,1154.97,745.73,
41,Total Current Assets,22407.00,17454.00,13197.00,titancompany,10120.30,9587.30,
42,Total Assets,27023.00,21194.00,16452.00,titancompany,13549.79,11715.25,
43,OTHER ADDITIONAL INFORMATION,,,,titancompany,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,titancompany,,,
45,Contingent Liabilities,724.00,569.00,436.00,titancompany,454.91,426.12,
46,BONUS DETAILS,,,,titancompany,,,
47,Bonus Equity Share Capital,44.38,44.38,44.38,titancompany,44.39,44.39,
48,NON-CURRENT INVESTMENTS,,,,titancompany,,,
49,Non-Current Investments Quoted Market Value,1.00,1.00,0.00,titancompany,0.44,0.41,
50,Non-Current Investments Unquoted Book Value,350.00,278.00,19.00,titancompany,43.92,38.79,
51,CURRENT INVESTMENTS,,,,titancompany,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,titancompany,0.00,0.00,
53,Current Investments Unquoted Book Value,2164.00,15.00,2805.00,titancompany,113.57,69.22,
0,Balance Sheet of Torrent Pharmaceuticals (in Rs. Cr.),Mar 23,Mar 22,Mar 21,torrentpharmaceuticals,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,torrentpharmaceuticals,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,torrentpharmaceuticals,,,
3,SHAREHOLDER'S FUNDS,,,,torrentpharmaceuticals,,,
4,Equity Share Capital,169.23,84.62,84.62,torrentpharmaceuticals,84.62,84.62,
5,Total Share Capital,169.23,84.62,84.62,torrentpharmaceuticals,84.62,84.62,
6,Reserves and Surplus,6028.84,5868.33,5752.55,torrentpharmaceuticals,4738.60,4639.73,
7,Total Reserves and Surplus,6028.84,5868.33,5752.55,torrentpharmaceuticals,4738.60,4639.73,
8,Total Shareholders Funds,6198.07,5952.95,5837.17,torrentpharmaceuticals,4823.22,4724.35,
9,Minority Interest,0.00,0.00,0.00,torrentpharmaceuticals,0.00,0.00,
10,NON-CURRENT LIABILITIES,,,,torrentpharmaceuticals,,,
11,Long Term Borrowings,2496.22,2123.22,2941.07,torrentpharmaceuticals,3275.22,3912.92,
12,Deferred Tax Liabilities [Net],401.94,193.56,0.00,torrentpharmaceuticals,0.00,7.50,
13,Other Long Term Liabilities,75.26,46.28,35.17,torrentpharmaceuticals,118.80,22.31,
14,Long Term Provisions,393.06,368.74,369.62,torrentpharmaceuticals,338.34,288.52,
15,Total Non-Current Liabilities,3366.48,2731.80,3345.86,torrentpharmaceuticals,3732.36,4231.25,
16,CURRENT LIABILITIES,,,,torrentpharmaceuticals,,,
17,Short Term Borrowings,2801.08,1894.88,1884.39,torrentpharmaceuticals,1090.85,934.11,
18,Trade Payables,1678.80,1674.44,2066.81,torrentpharmaceuticals,2048.81,2096.74,
19,Other Current Liabilities,573.71,434.74,509.36,torrentpharmaceuticals,1895.92,1720.25,
20,Short Term Provisions,393.71,411.03,431.06,torrentpharmaceuticals,418.58,414.22,
21,Total Current Liabilities,5447.30,4415.09,4891.62,torrentpharmaceuticals,5454.16,5165.32,
22,Total Capital And Liabilities,15011.85,13099.84,14074.65,torrentpharmaceuticals,14009.74,14120.92,
23,ASSETS,,,,torrentpharmaceuticals,,,
24,NON-CURRENT ASSETS,,,,torrentpharmaceuticals,,,
25,Tangible Assets,2771.60,2702.59,2883.34,torrentpharmaceuticals,2953.31,2800.68,
26,Intangible Assets,5012.35,3460.58,3840.06,torrentpharmaceuticals,4237.72,4612.24,
27,Capital Work-In-Progress,688.24,544.34,745.41,torrentpharmaceuticals,576.61,479.31,
28,Fixed Assets,8549.35,6792.99,7612.78,torrentpharmaceuticals,7902.96,8030.04,
29,Non-Current Investments,42.70,42.33,42.09,torrentpharmaceuticals,2.09,2.09,
30,Deferred Tax Assets [Net],543.67,493.65,421.66,torrentpharmaceuticals,433.21,369.85,
31,Long Term Loans And Advances,2.50,1.75,2.02,torrentpharmaceuticals,2.29,2.61,
32,Other Non-Current Assets,206.95,214.99,131.65,torrentpharmaceuticals,346.18,344.00,
33,Total Non-Current Assets,9682.67,7805.19,8551.43,torrentpharmaceuticals,9028.82,9083.38,
34,CURRENT ASSETS,,,,torrentpharmaceuticals,,,
35,Current Investments,156.09,183.98,139.05,torrentpharmaceuticals,0.02,351.35,
36,Inventories,2229.64,2462.32,2681.20,torrentpharmaceuticals,2148.22,1935.15,
37,Trade Receivables,1943.82,1632.48,1523.37,torrentpharmaceuticals,1649.34,1435.71,
38,Cash And Cash Equivalents,571.46,403.41,603.50,torrentpharmaceuticals,666.65,816.04,
39,Short Term Loans And Advances,1.71,2.61,3.08,torrentpharmaceuticals,3.64,3.79,
40,OtherCurrentAssets,426.46,609.85,573.02,torrentpharmaceuticals,513.05,495.50,
41,Total Current Assets,5329.18,5294.65,5523.22,torrentpharmaceuticals,4980.92,5037.54,
42,Total Assets,15011.85,13099.84,14074.65,torrentpharmaceuticals,14009.74,14120.92,
43,OTHER ADDITIONAL INFORMATION,,,,torrentpharmaceuticals,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,torrentpharmaceuticals,,,
45,Contingent Liabilities,619.01,505.35,324.34,torrentpharmaceuticals,374.59,392.90,
46,BONUS DETAILS,,,,torrentpharmaceuticals,,,
47,Bonus Equity Share Capital,162.41,77.80,77.80,torrentpharmaceuticals,77.80,77.80,
48,NON-CURRENT INVESTMENTS,,,,torrentpharmaceuticals,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,torrentpharmaceuticals,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,42.70,42.33,42.09,torrentpharmaceuticals,2.09,2.09,
51,CURRENT INVESTMENTS,,,,torrentpharmaceuticals,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,torrentpharmaceuticals,0.00,0.00,
53,Current Investments Unquoted Book Value,156.06,183.98,139.05,torrentpharmaceuticals,0.00,351.35,
0,Balance Sheet of Trent (in Rs. Cr.),Mar 23,Mar 22,Mar 21,trent,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,trent,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,trent,,,
3,SHAREHOLDER'S FUNDS,,,,trent,,,
4,Equity Share Capital,35.55,35.55,35.55,trent,35.55,33.23,
5,Total Share Capital,35.55,35.55,35.55,trent,35.55,33.23,
6,Reserves and Surplus,2559.94,2328.45,2277.48,trent,2352.49,1613.28,
7,Total Reserves and Surplus,2559.94,2328.45,2277.48,trent,2352.49,1613.28,
8,Total Shareholders Funds,2595.49,2364.00,2313.03,trent,2388.04,1646.51,
9,Minority Interest,67.48,45.94,44.49,trent,80.26,-2.90,
10,NON-CURRENT LIABILITIES,,,,trent,,,
11,Long Term Borrowings,497.95,497.38,0.00,trent,299.74,299.56,
12,Deferred Tax Liabilities [Net],0.00,0.00,0.00,trent,0.00,25.48,
13,Other Long Term Liabilities,3767.73,4143.99,2600.79,trent,2233.16,0.44,
14,Long Term Provisions,58.90,21.26,13.98,trent,18.21,15.64,
15,Total Non-Current Liabilities,4324.58,4662.63,2614.77,trent,2551.11,341.12,
16,CURRENT LIABILITIES,,,,trent,,,
17,Short Term Borrowings,0.00,0.00,0.00,trent,0.00,94.62,
18,Trade Payables,665.22,378.03,274.57,trent,297.65,244.97,
19,Other Current Liabilities,416.34,265.83,470.42,trent,182.39,228.86,
20,Short Term Provisions,12.42,9.59,6.45,trent,7.23,5.58,
21,Total Current Liabilities,1093.98,653.45,751.44,trent,487.27,574.03,
22,Total Capital And Liabilities,8081.53,7726.02,5723.73,trent,5506.68,2558.76,
23,ASSETS,,,,trent,,,
24,NON-CURRENT ASSETS,,,,trent,,,
25,Tangible Assets,4448.55,4616.99,2987.05,trent,2668.97,593.97,
26,Intangible Assets,51.21,42.53,39.58,trent,42.27,42.06,
27,Capital Work-In-Progress,101.72,104.72,107.98,trent,23.32,87.18,
28,Fixed Assets,4601.48,4764.24,3134.61,trent,2734.56,723.21,
29,Non-Current Investments,564.13,757.39,816.63,trent,735.91,804.13,
30,Deferred Tax Assets [Net],156.05,126.35,114.52,trent,110.40,0.00,
31,Long Term Loans And Advances,1.86,2.13,2.35,trent,2.34,2.27,
32,Other Non-Current Assets,353.04,265.26,225.08,trent,192.82,124.67,
33,Total Non-Current Assets,5703.75,5942.56,4320.38,trent,3803.22,1680.43,
34,CURRENT ASSETS,,,,trent,,,
35,Current Investments,545.74,526.33,670.66,trent,778.87,78.70,
36,Inventories,1361.16,867.78,428.39,trent,607.81,497.01,
37,Trade Receivables,34.39,17.86,20.77,trent,17.12,16.54,
38,Cash And Cash Equivalents,86.30,86.37,81.47,trent,61.41,54.23,
39,Short Term Loans And Advances,17.04,26.44,26.04,trent,85.98,30.33,
40,OtherCurrentAssets,333.15,258.68,176.02,trent,152.27,201.52,
41,Total Current Assets,2377.78,1783.46,1403.35,trent,1703.46,878.33,
42,Total Assets,8081.53,7726.02,5723.73,trent,5506.68,2558.76,
43,OTHER ADDITIONAL INFORMATION,,,,trent,,,
44,"CONTINGENT LIABILITIES, COMMITMENTS",,,,trent,,,
45,Contingent Liabilities,291.64,220.94,205.24,trent,149.09,158.92,
46,BONUS DETAILS,,,,trent,,,
47,Bonus Equity Share Capital,10.88,10.88,10.88,trent,10.88,10.88,
48,NON-CURRENT INVESTMENTS,,,,trent,,,
49,Non-Current Investments Quoted Market Value,0.00,0.00,0.00,trent,0.00,0.00,
50,Non-Current Investments Unquoted Book Value,0.00,733.91,763.11,trent,671.60,728.69,
51,CURRENT INVESTMENTS,,,,trent,,,
52,Current Investments Quoted Market Value,0.00,0.00,0.00,trent,0.00,0.00,
53,Current Investments Unquoted Book Value,0.00,478.09,611.21,trent,768.39,50.00,
0,Balance Sheet of UPL (in Rs. Cr.),Mar 23,Mar 22,Mar 21,upl,Mar 20,Mar 19,
1,,12 mths,12 mths,12 mths,upl,12 mths,12 mths,
2,EQUITIES AND LIABILITIES,,,,upl,,,
3,SHAREHOLDER'S FUNDS,,,,upl,,,
4,Equity Share Capital,150.00,153.00,153.00,upl,153.00,102.00,
5,Total Share Capital,150.00,153.00,153.00,upl,153.00,102.00,
6,Reserves and Surplus,26708.00,21522.00,17748.00,upl,16143.00,14613.00,
7,Total Reserves and Surplus,26708.00,21522.00,17748.00,upl,16143.00,14613.00,
8,Total Shareholders Funds,26858.00,21675.00,17901.00,upl,16296.00,14715.00,
9,Minority Interest,5585.00,4647.00,3693.00,upl,3312.00,3454.00,
10,NON-CURRENT LIABILITIES,,,,upl,,,
11,Long Term Borrowings,20144.00,21605.00,22146.00,upl,27371.00,26383.00,
